case_id,judge_id
32044049817315_0108,
32044046873683_0350,154
32044049817315_0131,2650
32044046873683_0097,1417
32044049817315_0046,1430
32044046873683_0053,1430
32044046873683_0077,164
32044046873683_0095,192
32044046873683_0024,
32044046873683_0532,1624
32044049817315_0328,1771
32044046873683_0293,
32044046873683_0452,414
32044046873683_0604,2510
32044046873683_0210,2180
32044049817315_0470,1430
32044049817315_0513,1430
32044049817315_0064,192
32044049817315_0053,1430
32044049817315_0304,1091
32044046873683_0400,
32044049817315_0089,
32044049817315_0202,
32044046873683_0324,
32044046873683_0438,1519
32044046873683_0233,2645
32044046873683_0423,591
32044049817315_0543,164
32044046873683_0485,164
32044049817315_0229,2474
32044046873683_0136,2502
32044046873683_0539,
32044049817315_0423,
32044046873683_0197,
32044049817315_0350,1745
32044046873683_0059,
32044046873683_0023,
32044046873683_0184,1430
32044046873683_0548,621
32044049817315_0417,84
32044046873683_0644,192
32044049817315_0408,
32044046873683_0199,1050
32044046873683_0470,1430
32044046873683_0167,
32044046873683_0367,1410
32044046873683_0617,192
32044046873683_0040,
32044049817315_0353,2502
32044049817315_0216,2256
32044049817315_0025,707
32044046873683_0397,
32044046873683_0363,424
32044049817315_0303,1091
32044049817315_0144,284
32044049817315_0223,
32044046873683_0567,164
32044049817315_0459,916
32044049817315_0322,192
32044046873683_0231,
32044046873683_0054,
32044046873683_0046,
32044046873683_0180,
32044046873683_0020,
32044046873683_0463,2816
32044046873683_0131,2089
32044049817315_0054,336
32044049817315_0106,621
32044049817315_0521,786
32044046873683_0281,1115
32044049817315_0445,1091
32044049817315_0505,
32044046873683_0568,
32044049817315_0491,2336
32044049817315_0493,
32044049817315_0041,424
32044049817315_0009,1430
32044046873683_0311,
32044049817315_0486,192
32044046873683_0468,424
32044049817315_0358,547
32044049817315_0126,238
32044046873683_0581,1643
32044046873683_0299,
32044049817315_0371,2645
32044046873683_0358,2302
32044046873683_0274,
32044049817315_0212,140
32044046873683_0477,164
32044046873683_0425,424
32044049817315_0255,1417
32044046873683_0612,
32044046873683_0531,275
32044049817315_0466,238
32044046873683_0419,
32044046873683_0114,
32044049817315_0287,424
32044046873683_0375,164
32044046873683_0083,2326
32044049817315_0060,650
32044046873683_0558,2256
32044049817315_0320,192
32044046873683_0035,
32044046873683_0146,
32044049817315_0031,192
32044049817315_0030,2485
32044049817315_0335,154
32044046873683_0034,2302
32044049817315_0474,154
32044049817315_0398,2561
32044049817315_0281,2179
32044046873683_0484,154
32044049817315_0550,154
32044046873683_0066,424
32044049817315_0215,621
32044046873683_0499,164
32044046873683_0488,1745
32044046873683_0011,
32044046873683_0605,1065
32044049817315_0458,88
32044049817315_0288,424
32044049817315_0292,2302
32044049817315_0536,164
32044049817315_0044,424
32044046873683_0268,1152
32044049817315_0434,
32044046873683_0515,2302
32044049817315_0217,
32044049817315_0443,1065
32044046873683_0026,1543
32044046873683_0337,88
32044046873683_0573,
32044049817315_0111,
32044049817315_0099,
32044046873683_0340,164
32044049817315_0235,
